"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 16 12:25:01 MSK 2025","Sun Mar 16 12:25:05 MSK 2025","3589","","LoginTest","","LoginTest","loginUserTest[Со страницы MainPage через кнопку Войти в аккаунт]","loginUserTest[Со страницы MainPage через кнопку Войти в аккаунт]",""
"passed","Sun Mar 16 12:24:44 MSK 2025","Sun Mar 16 12:24:52 MSK 2025","8100","","RegistrationTest","","RegistrationTest","registerNewUserTest","Регистрация нового пользователя",""
"passed","Sun Mar 16 12:25:09 MSK 2025","Sun Mar 16 12:25:12 MSK 2025","3519","","LoginTest","","LoginTest","loginUserTest[Со страницы RegistrationView через кнопку Войти]","loginUserTest[Со страницы RegistrationView через кнопку Войти]",""
"passed","Sun Mar 16 12:24:58 MSK 2025","Sun Mar 16 12:25:01 MSK 2025","3761","","LoginTest","","LoginTest","loginUserTest[Со страницы MainPage через кнопку Личный кабинет]","loginUserTest[Со страницы MainPage через кнопку Личный кабинет]",""
"passed","Sun Mar 16 12:24:52 MSK 2025","Sun Mar 16 12:24:58 MSK 2025","5628","","NavigationToProfileAndConstructorTest","","NavigationToProfileAndConstructorTest","openProfileTest","Открытие страницы личного кабинета и конструктора",""
"passed","Sun Mar 16 12:25:12 MSK 2025","Sun Mar 16 12:25:14 MSK 2025","1945","","ConstructorTest","","ConstructorTest","openTabTest[Переход на табу Соусы]","openTabTest[Переход на табу Соусы]",""
"passed","Sun Mar 16 12:25:16 MSK 2025","Sun Mar 16 12:25:19 MSK 2025","2662","","ConstructorTest","","ConstructorTest","openTabTest[Переход на табу Начинки]","openTabTest[Переход на табу Начинки]",""
"passed","Sun Mar 16 12:25:05 MSK 2025","Sun Mar 16 12:25:09 MSK 2025","3521","","LoginTest","","LoginTest","loginUserTest[Со страницы ForgotPasswordView через кнопку Войти]","loginUserTest[Со страницы ForgotPasswordView через кнопку Войти]",""
"passed","Sun Mar 16 12:24:37 MSK 2025","Sun Mar 16 12:24:44 MSK 2025","7084","","RegistrationTest","","RegistrationTest","registerNewUser_InvalidPassTest","Регистрация нового пользователя с коротким паролем не возможна",""
"passed","Sun Mar 16 12:25:14 MSK 2025","Sun Mar 16 12:25:16 MSK 2025","2016","","ConstructorTest","","ConstructorTest","openTabTest[Переход на табу Булки]","openTabTest[Переход на табу Булки]",""
"passed","Sun Mar 16 12:25:19 MSK 2025","Sun Mar 16 12:25:23 MSK 2025","4532","","ExitTest","","ExitTest","openProfileTest","Выход из аккаунта",""
